"","Date","mine_water_level"
"4555",2021-04-01,114.64
"4556",2021-04-02,114.63
"4557",2021-04-03,114.63
"4558",2021-04-04,114.63
"4559",2021-04-05,114.57
"4560",2021-04-06,114.54
"4561",2021-04-07,114.53
"4562",2021-04-08,114.56
"4563",2021-04-09,114.54
"4564",2021-04-10,114.52
"4565",2021-04-11,114.48
"4566",2021-04-12,114.55
"4567",2021-04-13,114.56
"4568",2021-04-14,114.56
"4569",2021-04-15,114.53
"4570",2021-04-16,114.5
"4571",2021-04-17,114.48
"4572",2021-04-18,114.46
"4573",2021-04-19,114.45
"4574",2021-04-20,114.4
"4575",2021-04-21,114.4
"4576",2021-04-22,114.47
"4577",2021-04-23,114.48
"4578",2021-04-24,114.45
"4579",2021-04-25,114.41
"4580",2021-04-26,114.35
"4581",2021-04-27,114.3
"4582",2021-04-28,114.29
"4583",2021-04-29,114.26
"4584",2021-04-30,114.3
"4585",2021-05-01,114.32
"4586",2021-05-02,114.35
"4587",2021-05-03,114.34
"4588",2021-05-04,114.21
"4589",2021-05-05,114.22
"4590",2021-05-06,114.25
"4591",2021-05-07,114.25
"4592",2021-05-08,114.28
"4593",2021-05-09,114.2
"4594",2021-05-10,114.17
"4595",2021-05-11,114.22
"4596",2021-05-12,114.23
"4597",2021-05-13,114.19
"4598",2021-05-14,114.19
"4599",2021-05-15,114.18
"4600",2021-05-16,114.16
"4601",2021-05-17,114.14
"4602",2021-05-18,114.18
"4603",2021-05-19,114.2
"4604",2021-05-20,114.21
"4605",2021-05-21,114.16
"4606",2021-05-22,114.08
"4607",2021-05-23,114.13
"4608",2021-05-24,114.11
"4609",2021-05-25,114.12
"4610",2021-05-26,114.12
"4611",2021-05-28,114.15
"4612",2021-05-29,114.15
"4613",2021-05-30,114.17
"4614",2021-05-31,114.11
"4615",2021-06-01,114.13
"4616",2021-06-02,114.06
"4617",2021-06-03,114.06
"4618",2021-06-04,114.08
"4619",2021-06-05,114.06
"4620",2021-06-06,114.07
"4621",2021-06-07,114.11
"4622",2021-06-08,114.04
"4623",2021-06-09,114.03
"4624",2021-06-10,114.02
"4625",2021-06-11,114
"4626",2021-06-12,114.04
"4627",2021-06-13,114.08
"4628",2021-06-14,114.03
"4629",2021-06-15,113.98
"4630",2021-06-16,113.96
"4631",2021-06-17,113.96
"4632",2021-06-18,113.96
"4633",2021-06-19,113.92
"4634",2021-06-20,113.91
"4635",2021-06-21,113.9
"4636",2021-06-22,113.89
"4637",2021-06-23,113.91
"4638",2021-06-24,113.91
"4639",2021-06-25,113.9
"4640",2021-06-26,113.9
"4641",2021-06-27,113.89
"4642",2021-06-28,113.9
"4643",2021-06-29,113.88
"4644",2021-06-30,113.87
"4645",2021-07-01,113.86
"4646",2021-07-02,113.85
"4647",2021-07-03,113.84
"4648",2021-07-04,113.83
"4649",2021-07-05,113.81
"4650",2021-07-06,113.8
"4651",2021-07-07,113.77
"4652",2021-07-08,113.78
"4653",2021-07-09,113.78
"4654",2021-07-10,113.82
"4655",2021-07-11,113.77
"4656",2021-07-12,113.75
"4657",2021-07-13,113.74
"4658",2021-07-14,113.73
"4659",2021-07-15,113.73
"4660",2021-07-16,113.7
"4661",2021-07-17,113.71
"4662",2021-07-18,113.68
"4663",2021-07-19,113.64
"4664",2021-07-20,113.65
"4665",2021-07-21,113.57
"4666",2021-07-22,113.54
"4667",2021-07-23,113.52
"4668",2021-07-24,113.47
"4669",2021-07-25,113.43
"4670",2021-07-26,113.37
"4671",2021-07-27,113.37
"4672",2021-07-28,113.35
"4673",2021-07-29,113.3
"4674",2021-07-30,113.27
"4675",2021-07-31,113.23
"4676",2021-08-01,113.2
"4677",2021-08-02,113.18
"4678",2021-08-03,113.17
"4679",2021-08-04,113.16
"4680",2021-08-05,113.13
"4681",2021-08-06,113.13
"4682",2021-08-07,113.07
"4683",2021-08-08,113.04
"4684",2021-08-09,113.05
"4685",2021-08-10,113.04
"4686",2021-08-11,113.01
"4687",2021-08-12,113
"4688",2021-08-13,112.97
"4689",2021-08-14,112.96
"4690",2021-08-15,112.9
"4691",2021-08-16,112.86
"4692",2021-08-17,112.91
"4693",2021-08-18,112.85
"4694",2021-08-19,112.82
"4695",2021-08-20,112.8
"4696",2021-08-21,112.81
"4697",2021-08-22,112.8
"4698",2021-08-23,112.76
"4699",2021-08-24,112.79
"4700",2021-08-25,112.77
"4701",2021-08-26,112.69
"4702",2021-08-27,112.68
"4703",2021-08-28,112.68
"4704",2021-08-29,112.66
"4705",2021-08-30,112.64
"4706",2021-08-31,112.64
"4707",2021-09-01,112.63
"4708",2021-09-02,112.61
"4709",2021-09-03,112.59
"4710",2021-09-04,112.52
"4711",2021-09-05,112.48
